geoid,name,state,japanese_pop,total_pop,japanese_pct
26125173500,"Oakland County (1735)","Michigan",0,2246,0
26125193300,"Oakland County (1933)","Michigan",45,4885,0.92
26125137800,"Oakland County (1378)","Michigan",80,3308,2.42
26125140301,"Oakland County (1403.01)","Michigan",3,4219,0.07
26125142600,"Oakland County (1426)","Michigan",0,3837,0
26125193000,"Oakland County (1930)","Michigan",0,3949,0
26125183700,"Oakland County (1837)","Michigan",0,5287,0
26125184600,"Oakland County (1846)","Michigan",9,3116,0.29
26163558000,"Wayne County (5580)","Michigan",0,4676,0
26163581800,"Wayne County (5818)","Michigan",0,2966,0
26163585700,"Wayne County (5857)","Michigan",0,2259,0
26163567100,"Wayne County (5671)","Michigan",0,3405,0
26163541000,"Wayne County (5410)","Michigan",0,4397,0
26163576500,"Wayne County (5765)","Michigan",0,3948,0
26163566500,"Wayne County (5665)","Michigan",0,2614,0
26163557300,"Wayne County (5573)","Michigan",1,1994,0.05
26163540100,"Wayne County (5401)","Michigan",0,3531,0
26163538700,"Wayne County (5387)","Michigan",0,3848,0
26163506200,"Wayne County (5062)","Michigan",0,2286,0
26163575000,"Wayne County (5750)","Michigan",0,4641,0
26163581600,"Wayne County (5816)","Michigan",0,5897,0
26163537200,"Wayne County (5372)","Michigan",0,649,0
26163504300,"Wayne County (5043)","Michigan",0,1904,0
26163575100,"Wayne County (5751)","Michigan",0,2432,0
26163572900,"Wayne County (5729)","Michigan",0,2841,0
26163569800,"Wayne County (5698)","Michigan",0,2449,0
26163572100,"Wayne County (5721)","Michigan",0,6058,0
26163560400,"Wayne County (5604)","Michigan",118,6174,1.91
26163570400,"Wayne County (5704)","Michigan",0,5334,0
26163533200,"Wayne County (5332)","Michigan",0,991,0
26163531700,"Wayne County (5317)","Michigan",0,1383,0
26163594500,"Wayne County (5945)","Michigan",0,3258,0
26163530800,"Wayne County (5308)","Michigan",0,1348,0
26163554600,"Wayne County (5546)","Michigan",0,3599,0
26163552100,"Wayne County (5521)","Michigan",0,5124,0
26163525400,"Wayne County (5254)","Michigan",0,2094,0
26163550700,"Wayne County (5507)","Michigan",137,5753,2.38
26163522500,"Wayne County (5225)","Michigan",0,1804,0
26163555500,"Wayne County (5555)","Michigan",0,3158,0
26163545700,"Wayne County (5457)","Michigan",0,2915,0
